feature,regime,pearson_with_target,spearman_with_target,categorical_association,association_type
rfq_id,EVALUATION_ONLY,,,0.0,cramers_v
canonical_configuration_id,EVALUATION_ONLY,,,0.8151820771934092,cramers_v
ml_split,EVALUATION_ONLY,,,0.0,cramers_v
record_type,PROVENANCE_PROCESS,,,0.5174234629320399,cramers_v
generation_method,PROVENANCE_PROCESS,,,0.5229211976036374,cramers_v
evidence_level,PROVENANCE_PROCESS,,,0.5192166866514143,cramers_v
source_frequency,PROVENANCE_PROCESS,0.5656890698180974,0.569457232703103,,pearson_spearman
nearest_real_distance,PROVENANCE_PROCESS,-0.48587725524021297,-0.5081054705279788,,pearson_spearman
num_changed_characteristics,PROVENANCE_PROCESS,-0.514464368941339,-0.5153241000245927,,pearson_spearman
evidence_score,PROVENANCE_PROCESS,0.3588772617781659,0.4707229405477313,,pearson_spearman
mandatory_total,REALISTIC_REQUIREMENT,0.07666003760977148,0.07153884217100445,,pearson_spearman
mandatory_satisfied,REALISTIC_REQUIREMENT,0.07666003760977148,0.07153884217100445,,pearson_spearman
mandatory_violations,REALISTIC_REQUIREMENT,,,,cramers_v
preferred_total,REALISTIC_REQUIREMENT,0.05042869754910708,0.0486241577832242,,pearson_spearman
preferred_satisfied,REALISTIC_REQUIREMENT,0.05042869754910708,0.0486241577832242,,pearson_spearman
preferred_differences,REALISTIC_REQUIREMENT,,,,cramers_v
unmentioned_features,SYNTHETIC_MECHANISM,-0.1847329369566909,-0.1849419589882765,,pearson_spearman
mandatory_valid,REALISTIC_REQUIREMENT,,,,cramers_v
mandatory_preferred_valid,REALISTIC_REQUIREMENT,,,,cramers_v
source_frequency_score,SYNTHETIC_MECHANISM,0.5656890698180985,0.569457232703103,,pearson_spearman
real_proximity_score,SYNTHETIC_MECHANISM,0.4858772552402128,0.5081054705279788,,pearson_spearman
low_change_score,SYNTHETIC_MECHANISM,0.514464368941339,0.5153241000245927,,pearson_spearman
observed_configuration_score,SYNTHETIC_MECHANISM,0.5174647168122395,0.517464716812238,,pearson_spearman
evidence_score_normalized,SYNTHETIC_MECHANISM,0.35887726177816676,0.4707229405477313,,pearson_spearman
rfq_ground_truth_record_type,UNCLASSIFIED,,,0.2815247611341786,cramers_v
rfq_ground_truth_evidence_level,UNCLASSIFIED,,,0.30342395921294885,cramers_v
rfq_ground_truth_nearest_real_distance,UNCLASSIFIED,-0.28966833409135945,-0.2840839210057234,,pearson_spearman
rfq_requirement_count,UNCLASSIFIED,0.1847329369566908,0.1849419589882765,,pearson_spearman
rfq_mandatory_requirement_count,UNCLASSIFIED,0.07666003760977148,0.07153884217100445,,pearson_spearman
rfq_preferred_requirement_count,UNCLASSIFIED,0.05042869754910708,0.0486241577832242,,pearson_spearman
rfq_unique_required_characteristics,UNCLASSIFIED,0.1847329369566908,0.1849419589882765,,pearson_spearman
config_devCategory,UNCLASSIFIED,,,0.13492197579095833,cramers_v
config_characteristic,UNCLASSIFIED,,,0.26436213482065124,cramers_v
config_housing,UNCLASSIFIED,,,,cramers_v
config_powerSupply,UNCLASSIFIED,-0.024001207411420488,-0.02400120741142039,,pearson_spearman
config_numberOfChannels,UNCLASSIFIED,0.05407245538166115,0.054072455381661305,,pearson_spearman
config_explosionApproval,UNCLASSIFIED,,,0.048333786563267506,cramers_v
config_protectionArea,UNCLASSIFIED,,,0.022909376351084285,cramers_v
config_certification,UNCLASSIFIED,,,0.09616225398964914,cramers_v
config_dataInterface,UNCLASSIFIED,,,0.1749745282197603,cramers_v
config_stromSchaltbar,UNCLASSIFIED,,,0.3420996644263063,cramers_v
config_stromEingaenge,UNCLASSIFIED,,,0.20856854151416537,cramers_v
config_temperaturEingaenge,UNCLASSIFIED,,,0.2732549065217624,cramers_v
config_binaerDigitalOpenColl_MN,UNCLASSIFIED,,,0.16806087158323468,cramers_v
config_binaerOpenColl_MP,UNCLASSIFIED,,,0.1832240203233689,cramers_v
config_waveInjector,UNCLASSIFIED,,,0.15158665916877068,cramers_v
config_dev_advMeterVerification,UNCLASSIFIED,,,0.09873378137132813,cramers_v
config_dynamicGasMaster,UNCLASSIFIED,,,0.012799556270224752,cramers_v
config_customUserFluid,UNCLASSIFIED,,,0.09365986328971738,cramers_v
config_steamApplication,UNCLASSIFIED,,,0.03655873124493936,cramers_v
